"constituency","Median_Age","Party","election","Classification","Total_Rural_Population","Total_Urban_Population","Total_Population","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked","Long_Term_Unemployed","Full_Time_Students_Employed","Full_Time_Students_Unemployed","Full_Time_Students_Inactive","overall_weather_std","lib_share","lab_share","oth_share","con_share","mean_environmental_mentions","Total_Students_Count"
"aylesbury",38," Liberal Democrats","2015","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.106,0.151,0.236,0.507,3.54545454545455,2304
"aylesbury",38," UK Independence Party","2015","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.106,0.151,0.236,0.507,3.54545454545455,2304
"aylesbury",38," Conservative Party","2015","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.106,0.151,0.236,0.507,3.54545454545455,2304
"aylesbury",38," Liberal Democrats","2017","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.096,0.3,0.054,0.55,3.54545454545455,2304
"aylesbury",38," Green Party","2017","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.096,0.3,0.054,0.55,3.54545454545455,2304
"aylesbury",38," Labour Party","2017","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.096,0.3,0.054,0.55,3.54545454545455,2304
"aylesbury",38," Conservative Party","2017","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.096,0.3,0.054,0.55,3.54545454545455,2304
"aylesbury",38," Green Party","2019","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.166,0.254,0.04,0.54,3.54545454545455,2304
"aylesbury",38," Conservative Party","2019","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.166,0.254,0.04,0.54,3.54545454545455,2304
"aylesbury",38," Labour Party","2019","Predominantly Urban",26222,81805,108027,9757,19474,11660,7744,5140,9649,7174,2119,946,1074,183,1047,14.9553665675651,0.166,0.254,0.04,0.54,3.54545454545455,2304
"bishop auckland",44," Liberal Democrats","2010","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.223,0.39,0.124,0.263,1.95238095238095,1826
"bishop auckland",44," Conservative Party","2010","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.223,0.39,0.124,0.263,1.95238095238095,1826
"bishop auckland",44," Labour Party","2010","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.223,0.39,0.124,0.263,1.95238095238095,1826
"bishop auckland",44," UK Independence Party","2015","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.044,0.414,0.217,0.325,1.95238095238095,1826
"bishop auckland",44," Green Party","2015","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.044,0.414,0.217,0.325,1.95238095238095,1826
"bishop auckland",44," Liberal Democrats","2019","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.048,0.359,0.056,0.537,1.95238095238095,1826
"bishop auckland",44," Conservative Party","2019","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.048,0.359,0.056,0.537,1.95238095238095,1826
"bishop auckland",44," Labour Party","2019","Predominantly Rural",43327,43816,87143,4208,11229,7061,6024,5567,11803,10913,2834,1178,658,122,1046,8.33753669268599,0.048,0.359,0.056,0.537,1.95238095238095,1826
"barnsley central",41," Green Party","2015","Predominantly Urban",0,85714,85714,3717,10733,7411,5340,5542,11314,11633,2641,1432,785,216,1056,13.8230203625933,0.021,0.557,0.272,0.15,10,2057
"blackpool north and cleveleys",44," Conservative Party","2010","Predominantly Urban",555,82836,83391,3504,11026,8907,7017,4889,10045,7667,1990,1245,987,211,883,16.5623071014131,NA,NA,NA,NA,0.777777777777778,2081
"blackpool north and cleveleys",44," Liberal Democrats","2010","Predominantly Urban",555,82836,83391,3504,11026,8907,7017,4889,10045,7667,1990,1245,987,211,883,16.5623071014131,NA,NA,NA,NA,0.777777777777778,2081
"blackpool north and cleveleys",44," UK Independence Party","2010","Predominantly Urban",555,82836,83391,3504,11026,8907,7017,4889,10045,7667,1990,1245,987,211,883,16.5623071014131,NA,NA,NA,NA,0.777777777777778,2081
"blackpool north and cleveleys",44," Labour Party","2010","Predominantly Urban",555,82836,83391,3504,11026,8907,7017,4889,10045,7667,1990,1245,987,211,883,16.5623071014131,NA,NA,NA,NA,0.777777777777778,2081
"blackpool north and cleveleys",44," Labour Party","2015","Predominantly Urban",555,82836,83391,3504,11026,8907,7017,4889,10045,7667,1990,1245,987,211,883,16.5623071014131,NA,NA,NA,NA,0.777777777777778,2081
"barnsley east",41," Conservative Party","2010","Predominantly Urban",11866,78568,90434,3274,10465,8052,5499,5890,12181,12568,3082,1510,767,150,844,14.1514850746193,0.182,0.47,0.183,0.165,0,1761
"barnsley east",41," Conservative Party","2017","Predominantly Urban",11866,78568,90434,3274,10465,8052,5499,5890,12181,12568,3082,1510,767,150,844,14.1514850746193,0.018,0.595,0.116,0.27,0,1761
"barnsley east",41," Labour Party","2017","Predominantly Urban",11866,78568,90434,3274,10465,8052,5499,5890,12181,12568,3082,1510,767,150,844,14.1514850746193,0.018,0.595,0.116,0.27,0,1761
"blackpool south",41," Liberal Democrats","2010","Predominantly Urban",0,81266,81266,2685,9519,7116,7721,4930,10857,8803,2632,1507,997,259,1045,16.5623071014131,0.144,0.411,0.087,0.358,1,2301
"blackpool south",41," UK Independence Party","2017","Predominantly Urban",0,81266,81266,2685,9519,7116,7721,4930,10857,8803,2632,1507,997,259,1045,16.5623071014131,0.018,0.503,0.048,0.431,1,2301
"barrow and furness",43," Liberal Democrats","2010","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"barrow and furness",43," Labour Party","2015","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"barrow and furness",43," Liberal Democrats","2015","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"barrow and furness",43," Conservative Party","2015","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"barrow and furness",43," Green Party","2015","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"barrow and furness",43," UK Independence Party","2015","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"barrow and furness",43," Conservative Party","2019","Urban with Significant Rural",31605,57221,88826,5464,12716,7784,5482,6558,11355,9939,2070,1017,666,139,687,16.7119730140112,NA,NA,NA,NA,3.33333333333333,1492
"bolton north east",38," Labour Party","2010","Predominantly Urban",272,95016,95288,5195,12733,9054,6065,4645,11201,9340,3934,1470,1212,362,1781,13.2666502836162,0.13,0.459,0.046,0.365,1.85714285714286,3355
"bolton north east",38," UK Independence Party","2015","Predominantly Urban",272,95016,95288,5195,12733,9054,6065,4645,11201,9340,3934,1470,1212,362,1781,13.2666502836162,0.029,0.43,0.214,0.328,1.85714285714286,3355
"bolton north east",38," Liberal Democrats","2015","Predominantly Urban",272,95016,95288,5195,12733,9054,6065,4645,11201,9340,3934,1470,1212,362,1781,13.2666502836162,0.029,0.43,0.214,0.328,1.85714285714286,3355
"bolton north east",38," Green Party","2015","Predominantly Urban",272,95016,95288,5195,12733,9054,6065,4645,11201,9340,3934,1470,1212,362,1781,13.2666502836162,0.029,0.43,0.214,0.328,1.85714285714286,3355
"basingstoke",36," Conservative Party","2010","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.245,0.204,0.046,0.505,2.83333333333333,2154
"basingstoke",36," Labour Party","2010","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.245,0.204,0.046,0.505,2.83333333333333,2154
"basingstoke",36," Conservative Party","2015","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.074,0.277,0.164,0.486,2.83333333333333,2154
"basingstoke",36," Labour Party","2015","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.074,0.277,0.164,0.486,2.83333333333333,2154
"basingstoke",36," Conservative Party","2017","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.061,0.358,0.054,0.527,2.83333333333333,2154
"basingstoke",36," Labour Party","2017","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.061,0.358,0.054,0.527,2.83333333333333,2154
"basingstoke",36," Liberal Democrats","2017","Predominantly Urban",851,107145,107996,10905,18463,12484,5766,5657,11034,8217,1446,1069,1171,199,784,14.8235225375486,0.061,0.358,0.054,0.527,2.83333333333333,2154
"bolton south east",35," UK Independence Party","2010","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.159,0.474,0.111,0.256,2.14285714285714,3968
"bolton south east",35," Green Party","2015","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.026,0.505,0.266,0.203,2.14285714285714,3968
"bolton south east",35," UK Independence Party","2015","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.026,0.505,0.266,0.203,2.14285714285714,3968
"bolton south east",35," Liberal Democrats","2015","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.026,0.505,0.266,0.203,2.14285714285714,3968
"bolton south east",35," Conservative Party","2015","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.026,0.505,0.266,0.203,2.14285714285714,3968
"bolton south east",35," Labour Party","2015","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.026,0.505,0.266,0.203,2.14285714285714,3968
"bolton south east",35," UK Independence Party","2017","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.018,0.607,0.078,0.297,2.14285714285714,3968
"bolton south east",35," Liberal Democrats","2017","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.018,0.607,0.078,0.297,2.14285714285714,3968
"bolton south east",35," Green Party","2017","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.018,0.607,0.078,0.297,2.14285714285714,3968
"bolton south east",35," Conservative Party","2019","Predominantly Urban",202,101545,101747,3901,10476,9277,6226,5271,12429,11411,5359,1717,1393,460,2115,13.2666502836162,0.035,0.53,0.093,0.343,2.14285714285714,3968
"battersea",32," Conservative Party","2010","Predominantly Urban",0,106709,106709,20286,27743,8607,6257,3173,5893,4631,2746,1338,1552,360,2938,4.45981251218765,0.147,0.351,0.028,0.473,1.92307692307692,4850
"battersea",32," Labour Party","2010","Predominantly Urban",0,106709,106709,20286,27743,8607,6257,3173,5893,4631,2746,1338,1552,360,2938,4.45981251218765,0.147,0.351,0.028,0.473,1.92307692307692,4850
"battersea",32," Liberal Democrats","2010","Predominantly Urban",0,106709,106709,20286,27743,8607,6257,3173,5893,4631,2746,1338,1552,360,2938,4.45981251218765,0.147,0.351,0.028,0.473,1.92307692307692,4850
"battersea",32," Labour Party","2015","Predominantly Urban",0,106709,106709,20286,27743,8607,6257,3173,5893,4631,2746,1338,1552,360,2938,4.45981251218765,0.044,0.368,0.064,0.524,1.92307692307692,4850
"battersea",32," UK Independence Party","2015","Predominantly Urban",0,106709,106709,20286,27743,8607,6257,3173,5893,4631,2746,1338,1552,360,2938,4.45981251218765,0.044,0.368,0.064,0.524,1.92307692307692,4850
"battersea",32," Green Party","2017","Predominantly Urban",0,106709,106709,20286,27743,8607,6257,3173,5893,4631,2746,1338,1552,360,2938,4.45981251218765,0.08,0.459,0.045,0.415,1.92307692307692,4850
"bootle",39," Labour Party","2010","Predominantly Urban",0,98449,98449,3720,11677,11877,4952,5030,12778,10225,4055,2249,1320,354,1610,16.5623071014131,0.151,0.664,0.095,0.089,0.333333333333333,3284
"bootle",39," Liberal Democrats","2010","Predominantly Urban",0,98449,98449,3720,11677,11877,4952,5030,12778,10225,4055,2249,1320,354,1610,16.5623071014131,0.151,0.664,0.095,0.089,0.333333333333333,3284
"bootle",39," UK Independence Party","2010","Predominantly Urban",0,98449,98449,3720,11677,11877,4952,5030,12778,10225,4055,2249,1320,354,1610,16.5623071014131,0.151,0.664,0.095,0.089,0.333333333333333,3284
