"Election","Party","environment","constituency","Election.Date","Year.Before.Election","yearly_avg_tavg","yearly_avg_tmin","yearly_avg_tmax","yearly_avg_prcp","yearly_avg_wspd","yearly_avg_pres","yearly_avg_tsun","election_year","full_elec_date","election","constituency_id","seats","country.region","electorate","con_votes","con_share","lib_votes","lib_share","lab_votes","lab_share","natSW_votes","natSW_share","oth_votes","oth_share","total_votes","turnout","boundary_set","X","Geography_Code","Date","Rural_Urban","Median_Age","All_Residents","All_Qualifications","No_Qualifications","Level_1_Qualifications","Level_2_Qualifications","Apprenticeship","Level_3_Qualifications","Level_4_and_Above","Other_Qualifications","School_Age_16_to_17","School_Age_18_and_Over","Full_Time_Students_Employed","Full_Time_Students_Unemployed","Full_Time_Students_Inactive","NS_SeC_All","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked_Unemployed","Never_Worked","Long_Term_Unemployed","Full_Time_Students_NS_SeC","Total_Rural_Population","Urban_City_Town_Population","Urban_Minor_Conurbation_Population","Urban_Major_Conurbation_Population","Total_Urban_Population","Total_Population","Hub_Towns_Population","Rural_Hub_Towns_Population","Rural_Population_Percentage","RUC11CD","RUC11","Classification"
"2015 General Election"," Labour Party",1,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," Green Party",19,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," UK Independence Party",32,"arundel and south downs","2015-05-07","2014-05-07",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2015,"2015 General Election","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2017 General Election"," Green Party",11,"arundel and south downs","2017-06-08","2016-06-08",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2017,"2017 General Election","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2017 General Election"," UK Independence Party",0,"arundel and south downs","2017-06-08","2016-06-08",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2017,"2017 General Election","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2019 General Election"," Conservative Party",2,"arundel and south downs","2019-12-12","2018-12-12",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2019,"2019 General Election","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2019 General Election"," Liberal Democrats",3,"arundel and south downs","2019-12-12","2018-12-12",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2019,"2019 General Election","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2019 General Election"," Labour Party",2,"arundel and south downs","2019-12-12","2018-12-12",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2019,"2019 General Election","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2019 General Election"," Green Party",5,"arundel and south downs","2019-12-12","2018-12-12",10.7166666666667,7.13333333333333,14.075,57.4166666666667,16.1,1013.58333333333,7185,2019,"2019 General Election","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E14000534",2011,"Total",47,97267,80349,14395,10074,13791,2789,9681,26478,3141,2132,1717,809,86,809,69122,10155,18168,8990,10076,3975,7563,4742,1617,1028,589,3836,77072,20195,0,0,20195,97267,0,77072,79.23,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural"
"2015 General Election"," Conservative Party",0,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," Liberal Democrats",3,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," Liberal Democrats",2,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," UK Independence Party",0,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," UK Independence Party",1,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," Labour Party",4,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," Labour Party",0,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2015 General Election"," Liberal Democrats",13,"ashfield","2015-05-07","2014-05-07",10.425,6.6,14.025,43.9416666666667,18.35,1014.55,7422.85714285714,2015,"2015 General Election","2015","E14000535",1,"East Midlands",77091,10628,0.224,7030,0.148,19448,0.41,NA,NA,10303,0.217,47409,0.615,"2010-2017","","E14000535",2011,"Total",41,101914,82919,26744,13691,13628,3491,9621,12129,3615,2075,1970,783,182,988,75252,4366,11827,8784,6345,7272,13647,14904,4079,2665,1414,4028,905,85715,15294,0,101009,101914,0,905,0.88,4,"Urban with City and Town","Predominantly Urban"
"2010 General Election"," Liberal Democrats",1,"ashford","2010-05-06","2009-05-06",10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,2010,"2010 General Election","2010","E14000536",1,"South East",81271,29878,0.541,12581,0.228,9204,0.167,NA,NA,3522,0.064,55185,0.679,"2010-2017","","E14000536",2011,"Total",40,112940,89287,19001,14066,15933,3426,10741,21686,4434,2579,2451,1242,230,972,80561,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,5023,38207,74733,0,0,74733,112940,0,38207,33.82,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2015 General Election"," Green Party",15,"ashford","2015-05-07","2014-05-07",10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,2015,"2015 General Election","2015","E14000536",1,"South East",85177,30094,0.525,3433,0.06,10580,0.184,NA,NA,13265,0.231,57372,0.674,"2010-2017","","E14000536",2011,"Total",40,112940,89287,19001,14066,15933,3426,10741,21686,4434,2579,2451,1242,230,972,80561,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,5023,38207,74733,0,0,74733,112940,0,38207,33.82,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2015 General Election"," Green Party",20,"ashford","2015-05-07","2014-05-07",10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,2015,"2015 General Election","2015","E14000536",1,"South East",85177,30094,0.525,3433,0.06,10580,0.184,NA,NA,13265,0.231,57372,0.674,"2010-2017","","E14000536",2011,"Total",40,112940,89287,19001,14066,15933,3426,10741,21686,4434,2579,2451,1242,230,972,80561,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,5023,38207,74733,0,0,74733,112940,0,38207,33.82,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2017 General Election"," Liberal Democrats",0,"ashford","2017-06-08","2016-06-08",10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,2017,"2017 General Election","2017","E14000536",1,"South East",87387,35318,0.59,3101,0.052,17840,0.298,NA,NA,3620,0.06,59879,0.685,"2010-2019","","E14000536",2011,"Total",40,112940,89287,19001,14066,15933,3426,10741,21686,4434,2579,2451,1242,230,972,80561,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,5023,38207,74733,0,0,74733,112940,0,38207,33.82,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2017 General Election"," Labour Party",2,"ashford","2017-06-08","2016-06-08",10.5166666666667,7.29166666666667,13.65,48.6666666666667,19.3666666666667,1013.95,9480,2017,"2017 General Election","2017","E14000536",1,"South East",87387,35318,0.59,3101,0.052,17840,0.298,NA,NA,3620,0.06,59879,0.685,"2010-2019","","E14000536",2011,"Total",40,112940,89287,19001,14066,15933,3426,10741,21686,4434,2579,2451,1242,230,972,80561,8111,17598,10749,9236,6465,11860,8412,3107,2026,1081,5023,38207,74733,0,0,74733,112940,0,38207,33.82,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2010 General Election"," Green Party",8,"banbury","2010-05-06","2009-05-06",10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,2010,"2010 General Election","2010","E14000539",1,"South East",84379,29703,0.528,11476,0.204,10773,0.192,NA,NA,4289,0.076,56241,0.667,"2010-2017","","E14000539",2011,"Total",38,117928,93591,18479,14512,15144,3629,11020,25578,5229,2570,2413,1137,141,1125,85809,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,4973,35431,82497,0,0,82497,117928,0,35431,30.04,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2010 General Election"," Conservative Party",0,"banbury","2010-05-06","2009-05-06",10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,2010,"2010 General Election","2010","E14000539",1,"South East",84379,29703,0.528,11476,0.204,10773,0.192,NA,NA,4289,0.076,56241,0.667,"2010-2017","","E14000539",2011,"Total",38,117928,93591,18479,14512,15144,3629,11020,25578,5229,2570,2413,1137,141,1125,85809,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,4973,35431,82497,0,0,82497,117928,0,35431,30.04,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2017 General Election"," Conservative Party",1,"banbury","2017-06-08","2016-06-08",10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,2017,"2017 General Election","2017","E14000539",1,"South East",83824,33388,0.542,3452,0.056,20989,0.341,NA,NA,3733,0.061,61562,0.734,"2010-2019","","E14000539",2011,"Total",38,117928,93591,18479,14512,15144,3629,11020,25578,5229,2570,2413,1137,141,1125,85809,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,4973,35431,82497,0,0,82497,117928,0,35431,30.04,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2017 General Election"," Labour Party",0,"banbury","2017-06-08","2016-06-08",10.3555555555556,6.68888888888889,14.0111111111111,NA,11.95,1013.78333333333,NA,2017,"2017 General Election","2017","E14000539",1,"South East",83824,33388,0.542,3452,0.056,20989,0.341,NA,NA,3733,0.061,61562,0.734,"2010-2019","","E14000539",2011,"Total",38,117928,93591,18479,14512,15144,3629,11020,25578,5229,2570,2413,1137,141,1125,85809,9564,19578,11536,8208,6583,12797,9970,2600,1737,863,4973,35431,82497,0,0,82497,117928,0,35431,30.04,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural"
"2010 General Election"," Labour Party",0,"barking","2010-05-06","2009-05-06",10.2428571428571,6.7,13.7142857142857,NA,14.075,1015.35,NA,2010,"2010 General Election","2010","E14000540",1,"London",73868,8073,0.178,3719,0.082,24628,0.543,NA,NA,8923,0.197,45343,0.614,"2010-2017","","E14000540",2011,"Total",31,122313,89663,24383,13262,13056,1714,8179,19503,9566,2999,7053,2375,968,3699,83926,4261,12607,10311,7865,5560,13029,10096,10156,7541,2615,10041,0,0,0,122313,122313,122313,0,0,0,6,"Urban with Major Conurbation","Predominantly Urban"
"2010 General Election"," Conservative Party",0,"barking","2010-05-06","2009-05-06",10.2428571428571,6.7,13.7142857142857,NA,14.075,1015.35,NA,2010,"2010 General Election","2010","E14000540",1,"London",73868,8073,0.178,3719,0.082,24628,0.543,NA,NA,8923,0.197,45343,0.614,"2010-2017","","E14000540",2011,"Total",31,122313,89663,24383,13262,13056,1714,8179,19503,9566,2999,7053,2375,968,3699,83926,4261,12607,10311,7865,5560,13029,10096,10156,7541,2615,10041,0,0,0,122313,122313,122313,0,0,0,6,"Urban with Major Conurbation","Predominantly Urban"
"2010 General Election"," Conservative Party",0,"beckenham","2010-05-06","2009-05-06",10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,2010,"2010 General Election","2010","E14000551",1,"London",66219,27597,0.579,9813,0.206,6893,0.145,NA,NA,3383,0.071,47686,0.72,"2010-2017","","E14000551",2011,"Total",42,87011,70667,11003,9285,11721,1926,8460,25079,3193,2114,2207,795,134,1265,62468,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,4308,134,1277,0,85600,86877,87011,0,134,0.15,6,"Urban with Major Conurbation","Predominantly Urban"
"2010 General Election"," Labour Party",0,"beckenham","2010-05-06","2009-05-06",10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,2010,"2010 General Election","2010","E14000551",1,"London",66219,27597,0.579,9813,0.206,6893,0.145,NA,NA,3383,0.071,47686,0.72,"2010-2017","","E14000551",2011,"Total",42,87011,70667,11003,9285,11721,1926,8460,25079,3193,2114,2207,795,134,1265,62468,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,4308,134,1277,0,85600,86877,87011,0,134,0.15,6,"Urban with Major Conurbation","Predominantly Urban"
"2010 General Election"," Liberal Democrats",0,"beckenham","2010-05-06","2009-05-06",10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,2010,"2010 General Election","2010","E14000551",1,"London",66219,27597,0.579,9813,0.206,6893,0.145,NA,NA,3383,0.071,47686,0.72,"2010-2017","","E14000551",2011,"Total",42,87011,70667,11003,9285,11721,1926,8460,25079,3193,2114,2207,795,134,1265,62468,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,4308,134,1277,0,85600,86877,87011,0,134,0.15,6,"Urban with Major Conurbation","Predominantly Urban"
"2010 General Election"," UK Independence Party",0,"beckenham","2010-05-06","2009-05-06",10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9,1013.61666666667,7185,2010,"2010 General Election","2010","E14000551",1,"London",66219,27597,0.579,9813,0.206,6893,0.145,NA,NA,3383,0.071,47686,0.72,"2010-2017","","E14000551",2011,"Total",42,87011,70667,11003,9285,11721,1926,8460,25079,3193,2114,2207,795,134,1265,62468,9967,17609,10847,6737,2718,5452,2870,1960,1179,781,4308,134,1277,0,85600,86877,87011,0,134,0.15,6,"Urban with Major Conurbation","Predominantly Urban"
